,temp,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,stations,cases,labels,lab
0,28.71,22.971,73.508,2.922,44.658,4.361,15.678,175.595,1007.912,50.748,3.79,208.098,17.974,7.233,3,1,4925,normal,1
1,29.464,23.485,72.067,3.783,39.837,2.677,14.575,158.35,1003.533,48.314,2.885,222.926,19.246,7.504,2,1,5077,normal,1
2,29.527,22.58,69.424,3.066,33.333,2.338,14.978,202.621,1005.732,55.621,4.242,229.413,19.802,7.829,2,1,7579,normal,1
3,28.728,21.752,69.298,6.025,37.398,2.677,16.505,183.545,1003.359,50.208,2.991,225.422,19.48,7.593,1,0,13706,normal,2
4,26.775,24.215,86.652,23.337,96.748,15.617,19.546,224.03,1009.996,45.542,3.887,176.598,15.262,6.187,1,4,82,normal,1
6,28.497,24.824,81.698,6.349,46.341,3.896,15.234,147.413,1003.52,57.928,3.264,196.9,17.007,6.789,1,0,6772,normal,1
7,29.848,24.559,74.82,8.96,54.472,4.811,25.482,210.037,1008.212,56.071,6.056,169.028,14.573,5.967,1,2,10342,normal,2
8,28.788,21.493,67.515,4.518,61.789,25.678,12.895,149.187,1003.942,29.598,2.595,238.502,20.601,7.732,2,1,12542,normal,2
9,26.314,24.066,88.39,11.598,91.87,17.312,10.093,169.942,1010.143,78.598,3.723,208.989,18.048,7.382,2,1,150,normal,1
10,26.346,21.489,76.772,10.726,73.984,9.147,12.716,197.079,1003.106,46.302,2.072,225.867,19.51,7.488,3,0,4563,normal,1
11,28.33,24.941,82.698,25.567,79.675,9.993,24.592,222.154,1006.248,59.326,2.926,189.61,16.368,6.545,2,1,11011,normal,2
12,28.271,25.083,84.259,8.117,50.407,3.829,14.633,150.184,1004.303,59.226,3.07,202.922,17.537,6.902,1,1,14092,normal,2
17,32.1,22.4,58.7,0.7,100.0,4.17,14.4,197.4,997.1,39.5,2.0,298.2,25.9,9.0,4,0,8850,normal,1
18,30.7,23.1,67.8,48.1,100.0,8.33,10.8,230.8,997.1,41.0,2.0,271.3,23.4,8.0,4,0,7538,normal,1
19,31.5,22.4,61.8,0.6,100.0,4.17,14.0,229.2,994.2,36.8,2.3,290.4,25.1,9.0,4,0,4004,normal,1
20,30.4,23.0,68.0,16.0,100.0,4.17,15.1,189.4,993.7,51.3,2.0,236.2,20.3,9.0,4,0,3001,normal,1
22,30.7,23.6,69.6,18.0,100.0,12.5,16.2,205.6,994.6,41.9,2.1,274.3,23.8,8.0,4,0,637,normal,1
23,29.0,24.3,77.1,35.0,100.0,16.67,20.5,228.8,994.8,48.4,1.7,228.5,19.8,6.0,4,0,5197,normal,1
24,29.8,23.3,70.9,13.3,100.0,8.33,20.2,275.6,993.5,34.5,2.0,250.3,21.7,8.0,4,0,6523,normal,1
